"Country","Population","Rural","GNI","Imports","Exports","Military","Cell","Fertility","Measles","InfMort","LifeExp","PM2.5","CO2","EnergyUse","Renewable","Debt"
"Afghanistan",42239854,73.067,360,37.06956357719,14.342152797537,NA,56.55443457,4.523,68,44.8,62.879,46.0870936659706,0.138000719739474,2.94,20,NA
"Albania",2745972,35.397,6770,44.7088213484193,31.3091607591559,1.58488092384586,92.31992041,1.376,86,8.4,76.833,15.7070036417042,1.61508361807243,2.27,41.9,56.3023228650404
"Algeria",45606480,24.732,4490,23.3883951900933,23.8825078175472,4.77943828648395,106.4235366,2.829,79,18.7,77.129,25.5526558310447,3.94357866277979,5.61,0.1,3.73370667963257
"American Samoa",43914,12.765,NA,92.5333333333333,44.2666666666667,NA,NA,NA,NA,NA,NA,6.71514739512663,0.00225871298534095,NA,0.4,NA
"Andorra",80088,12.226,50080,NA,NA,NA,118.6729762,NA,98,2.6,NA,9.08028059086901,NA,1.89,18.4,NA
"Angola",36684202,31.312,1870,26.7192226161787,47.7452759783385,1.32872232786494,44.42373173,5.209,37,45.7,61.929,25.1452381976267,0.567189507248408,3.1,52.9,60.8750194458065
"Antigua and Barbuda",94298,75.668,18710,54.1394040738351,46.9834793891329,NA,197.3825359,1.58,99,8.1,79.236,19.6982695582914,2.9617226411271,4.83,0.9,NA
"Argentina",46654581,7.53700000000001,11590,14.9334363103503,17.9965879441795,0.411211298762518,130.4550081,1.876,83,8.4,76.064,14.9081737974407,3.98048830286604,3.39,9.2,40.0036910778865
"Armenia",2777970,36.261,5960,43.7634488327132,35.9064399901267,4.31710667230517,128.961359,1.575,95,9.2,73.372,30.5796334750125,2.27533556389228,3.91,9.1,78.8389524291956
"Aruba",106277,55.746,33410,70.8303783212249,69.0697088328819,NA,132.3496283,1.179,NA,NA,74.992,NA,4.27544741415755,3.13,8.8,NA
"Australia",26638544,13.383,60820,17.7255408465983,21.9768193897174,1.89882434777792,104.5172138,1.63,96,3.2,83.2,8.25171746070811,15.1132647730974,4.1,12.3,NA
"Austria",9132383,40.47,55720,55.0331207505886,55.9518373023172,0.772607157386914,121.9694798,1.41,95,2.6,81.0926829268293,10.9335136815146,6.76570538488192,2.86,36,NA
"Azerbaijan",10112555,42.423,5670,29.7981185195358,46.4887471674792,4.54596853675007,104.8878056,1.67,93,16.1,73.488,21.7269999756599,3.66106224602524,4.73,1.3,20.803154950297
"Bahamas, The",412623,16.375,31030,43.4545118701018,29.4971369261758,NA,97.42269052,1.38,80,11.2,74.358,18.9393918728687,3.52745472994068,2.87,1.1,NA
"Bahrain",1485509,10.131,27710,70.1917205842733,89.681259959357,3.17213705490747,131.4487123,1.797,99,5.6,79.246,58.4950629834781,25.7806339078121,9.23,0,NA
"Bangladesh",172954319,59.527,2820,17.0612258032497,10.6627789004134,1.12882010548687,108.9094426,1.95,97,24.1,73.698,42.3813762359965,0.637172800180613,1.93,25,20.2769623556053
"Barbados",281995,68.575,20210,39.6410048701023,30.2277982058029,NA,112.6006401,1.634,85,10.1,77.706,23.7309657842996,2.39387860173629,4.01,5.5,NA
"Belarus",9178298,19.269,7230,65.1824128358935,70.8320377207017,1.20328256808078,122.7801287,1.495,98,1.9,73.1114634146342,14.6089903841381,6.22138689656809,6.18,8.2,56.7857223981134
"Belgium",11822592,1.81100000000001,53890,86.1375952345899,87.9013984929375,1.17973708133594,101.1083743,1.53,96,3.1,81.6975609756098,11.2160664677018,7.73715036025732,3.86,11.7,NA
